0,1,2,3,4,5,6,7,8,9,10,11,gender,label
0.3860101,0.42937684,0.30134565,0.21976401,0.14787701,0.111653626,0.14058691,0.20171714,0.21399981,0.22389841,0.19366764,0.2126805,female,child
0.34662542,0.4013572,0.36903867,0.29643467,0.27831638,0.29766983,0.29354036,0.33242807,0.35584617,0.32967684,0.31565666,0.2951157,female,child
0.27923048,0.2684134,0.31526434,0.3707976,0.32889882,0.30251202,0.25940678,0.23190394,0.2450809,0.26743183,0.29148054,0.301034,female,child
0.5153639,0.53339213,0.3563179,0.15399674,0.08547393,0.09824403,0.15020344,0.22052814,0.23813163,0.15738192,0.19150539,0.3215073,female,child
0.2604688,0.2573898,0.25779775,0.27555805,0.30323228,0.2275615,0.19728565,0.21231058,0.2596846,0.31180513,0.30256593,0.25624934,female,child
0.2813581,0.29794747,0.34569153,0.36439386,0.37650803,0.30122826,0.28422624,0.2838826,0.28436044,0.28932384,0.27033895,0.2716935,female,child
0.36515677,0.29869154,0.2571918,0.25055313,0.27139628,0.25892457,0.2735748,0.28460717,0.33755863,0.407425,0.4633457,0.4463812,female,child
0.3350483,0.35709503,0.3876886,0.39729646,0.36345658,0.31125927,0.25337455,0.1911009,0.18695216,0.23985855,0.30732572,0.30438638,female,child
0.25714964,0.26203197,0.23745847,0.27602553,0.35760766,0.31852782,0.2517239,0.30593604,0.2921484,0.25261953,0.2630409,0.2603779,female,child
0.3954701,0.41844255,0.4074621,0.26485556,0.21311566,0.21280211,0.22854255,0.2268127,0.30055588,0.34107077,0.36128542,0.40602505,female,child
0.29114282,0.26530346,0.24206495,0.24464503,0.2650068,0.3190647,0.3176956,0.29235983,0.2893149,0.30378366,0.34400693,0.33529663,female,child
0.37098652,0.33460337,0.28050724,0.3019261,0.29956374,0.22822867,0.19320385,0.17358413,0.22014947,0.2750372,0.35501298,0.39204073,female,child
0.32708743,0.30140445,0.27840632,0.2067563,0.23061424,0.33247763,0.39521205,0.33704552,0.32723358,0.2872565,0.2896056,0.3255743,female,child
0.3172747,0.28770947,0.2789941,0.25682557,0.3392347,0.35924196,0.21770868,0.21163413,0.2330336,0.2896851,0.32287562,0.3438546,female,child
0.42947257,0.40400645,0.33034047,0.22521059,0.21732323,0.23187116,0.28612107,0.32684794,0.24971177,0.22581501,0.28267875,0.3820813,female,child
0.32591766,0.28070313,0.21169928,0.1477964,0.13191414,0.14376125,0.21488759,0.27644444,0.26330933,0.2810068,0.36674452,0.3723931,female,child
0.3366563,0.37791243,0.3211583,0.2405118,0.2174158,0.24456573,0.3056062,0.2954573,0.2881889,0.28760824,0.3033891,0.32480034,female,child
