0,1,2,3,4,5,6,7,8,9,10,11,gender,label
0.6774891,0.49077663,0.28740203,0.14402512,0.121024065,0.1187008,0.18272457,0.2821363,0.26043287,0.25426722,0.42648885,0.57860327,male,child
0.47573978,0.4017419,0.32295492,0.32021955,0.26085305,0.19911197,0.22287822,0.26868162,0.21326749,0.18572246,0.29298806,0.39546078,male,child
0.3332798,0.38175473,0.32646593,0.28126737,0.36704648,0.31734034,0.2839825,0.26394892,0.22929491,0.20229839,0.20113501,0.24375664,male,child
0.3362236,0.33376655,0.293828,0.24798156,0.24219657,0.26230952,0.27359486,0.24883406,0.19901776,0.19160768,0.25548285,0.2871647,male,child
0.3591711,0.2870426,0.2525643,0.30661768,0.3962233,0.3563877,0.31014144,0.31446093,0.30733657,0.29044047,0.33822244,0.376477,male,child
0.37839335,0.28554028,0.20327693,0.19975817,0.18050463,0.22195031,0.30358043,0.27531603,0.29441312,0.3417592,0.35117435,0.36839527,male,child
0.337506,0.29641727,0.3151178,0.28578484,0.22097859,0.21097396,0.22612348,0.24916986,0.22159031,0.23672841,0.3057491,0.3507039,male,child
0.28363428,0.22716478,0.23540615,0.30702034,0.34821367,0.31653786,0.25858784,0.27496278,0.30053088,0.29221085,0.33015776,0.338265,male,child
0.2369245,0.17217778,0.21773516,0.26612777,0.39900696,0.2693602,0.21068195,0.2113904,0.20365675,0.29667425,0.2698305,0.24688011,male,child
0.28408545,0.23166774,0.22959948,0.37263367,0.3987717,0.27529675,0.22381379,0.31015882,0.46569443,0.4628802,0.39985076,0.33441058,male,child
0.361831,0.29940072,0.26360875,0.35288772,0.41348708,0.2971046,0.24910623,0.31449226,0.43984276,0.48435605,0.4395113,0.37933916,male,child
0.3127996,0.32117918,0.32258475,0.3501136,0.31084794,0.32521912,0.38088584,0.43328524,0.34629977,0.30088064,0.30554923,0.2924103,male,child
0.42351273,0.3886043,0.37672797,0.29697925,0.19617544,0.15430973,0.24924305,0.27262294,0.24882764,0.22364862,0.22989756,0.33400556,male,child
0.50504434,0.53070295,0.41719702,0.1790317,0.106321104,0.13402152,0.17465681,0.19897872,0.2409746,0.24515752,0.32280704,0.42203298,male,child
0.3633007,0.29856142,0.23314026,0.2164874,0.3222432,0.3227962,0.23479535,0.24413481,0.21397266,0.26861727,0.38865128,0.38009152,male,child
0.27786872,0.2587193,0.27074504,0.29498267,0.26460662,0.2497781,0.28770477,0.2828995,0.2152727,0.2019302,0.24652351,0.2709787,male,child
0.25635692,0.31368437,0.35923323,0.31109577,0.29919967,0.31950498,0.35995892,0.3556633,0.31853488,0.2866664,0.29327154,0.26341334,male,child
0.37763125,0.3437447,0.32772508,0.30165893,0.26497376,0.2749663,0.333874,0.32257217,0.29971102,0.28541496,0.30570644,0.35779652,male,child
0.37601522,0.36650637,0.30936703,0.266003,0.20405851,0.13002372,0.16463602,0.24992317,0.2844841,0.26694852,0.26535863,0.33661672,male,child
0.2600039,0.27754715,0.28253192,0.30266857,0.36256698,0.3703149,0.35900488,0.29905257,0.30806318,0.26803386,0.25706726,0.24820058,male,child
0.41727147,0.38518673,0.34543976,0.27720094,0.2253595,0.21856143,0.16304345,0.14026804,0.15245767,0.16417623,0.26266566,0.38174242,male,child
0.45865312,0.28316757,0.26828393,0.21762322,0.15399145,0.15677416,0.254443,0.2518596,0.23839816,0.23922753,0.355844,0.53703004,male,child
0.34826317,0.29584628,0.23967701,0.25379038,0.3623536,0.42197537,0.38994414,0.3096692,0.27472672,0.30854043,0.3520198,0.34858775,male,child
0.29094338,0.28685665,0.3405819,0.40175658,0.41401052,0.35936174,0.30283096,0.28585958,0.33967873,0.316047,0.31722024,0.31487766,male,child
0.52211666,0.32086828,0.1754466,0.14173175,0.22163372,0.19553797,0.11243922,0.106009,0.17669003,0.30016398,0.3782824,0.47833076,male,child
0.26256356,0.17285676,0.11101536,0.087915994,0.21710318,0.30209127,0.24569072,0.12916495,0.25340804,0.53200257,0.60173345,0.417909,male,child
0.3811803,0.20043199,0.11285685,0.07212124,0.10011822,0.22301577,0.27518427,0.24570239,0.29478312,0.4230597,0.5615282,0.5328814,male,child
0.27025628,0.17072102,0.12563643,0.18919699,0.3323724,0.3155777,0.19101863,0.16504933,0.257261,0.43309733,0.5013873,0.38425368,male,child
0.38190335,0.19504558,0.09907928,0.11373767,0.18920662,0.19939272,0.18605636,0.15214169,0.21318981,0.30824193,0.41743624,0.4615182,male,child
0.3798057,0.20986804,0.12479512,0.14029749,0.20076513,0.22134058,0.19547282,0.16026211,0.184764,0.35659188,0.62082297,0.5675642,male,child
0.5699942,0.40601715,0.19308412,0.07908214,0.08363973,0.10946348,0.12977482,0.17399633,0.14234954,0.2255853,0.4363457,0.4855631,male,child
0.45845276,0.33527297,0.18859449,0.12881032,0.15076013,0.18558484,0.16521707,0.17139342,0.24311966,0.3621378,0.48863047,0.45960787,male,child
0.28072178,0.18620914,0.16417114,0.22133914,0.25327522,0.22680897,0.19647524,0.16843148,0.28169638,0.45924628,0.50571316,0.40909794,male,child
0.24965043,0.14032935,0.08669005,0.14101212,0.21802096,0.14180315,0.14004229,0.2569669,0.4435601,0.5933793,0.6760582,0.46800256,male,child
0.39428443,0.247055,0.16825531,0.1410339,0.15478717,0.21429102,0.21145041,0.23921588,0.2787799,0.37177143,0.47913757,0.40520737,male,child
