0,1,2,3,4,5,6,7,8,9,10,11,gender,label
0.41700324,0.3506385,0.33201128,0.34079388,0.28505263,0.25054386,0.26614243,0.30994618,0.42668453,0.54208064,0.5583967,0.51691085,female,adult
0.4784513,0.40573314,0.29214385,0.27627304,0.25338015,0.2241885,0.20777805,0.23416044,0.29458576,0.4176509,0.5155475,0.51277816,female,adult
0.42477354,0.31148303,0.25212792,0.25291282,0.28550264,0.3122153,0.24852222,0.20690188,0.25005928,0.38669267,0.57711536,0.60496366,female,adult
0.396558,0.3553565,0.25825727,0.27855378,0.32121697,0.29608658,0.2791076,0.2778047,0.32965478,0.40803772,0.47051892,0.4912818,female,adult
0.41281557,0.3173438,0.26818284,0.2964443,0.2693308,0.26070726,0.31087816,0.24519788,0.2584608,0.413856,0.52852976,0.5438739,female,adult
0.43252194,0.38083732,0.28835395,0.23412806,0.26920494,0.29045513,0.24911897,0.21832575,0.32833806,0.4851801,0.54134125,0.5420355,female,adult
0.49409384,0.3004168,0.23484312,0.22711413,0.22209607,0.20290771,0.19335786,0.20773841,0.3052466,0.43894088,0.51744056,0.57407105,female,adult
0.5041817,0.36895552,0.24710679,0.21433108,0.21991882,0.22219825,0.23375088,0.24427517,0.30795234,0.34714404,0.45207706,0.5521265,female,adult
0.44995603,0.29916075,0.24445768,0.22470617,0.20008555,0.1834633,0.22267172,0.29841366,0.34441558,0.43229693,0.5069058,0.53837115,female,adult
0.5036746,0.4042528,0.3006339,0.2500514,0.23929407,0.20774058,0.19913535,0.20896265,0.21129891,0.3393698,0.5213766,0.56722176,female,adult
0.4552792,0.2985775,0.22230014,0.2198272,0.22631542,0.20179592,0.18381794,0.21790047,0.24397881,0.3570764,0.5018312,0.5843642,female,adult
0.3268905,0.24029198,0.24361613,0.28492185,0.3124032,0.27202392,0.20594563,0.15927866,0.19026682,0.35577473,0.45410776,0.413428,female,adult
0.5451464,0.38651383,0.2963349,0.26252487,0.26485115,0.24634431,0.22705993,0.21422552,0.23565203,0.33691025,0.528569,0.6074384,female,adult
0.4547056,0.3896282,0.2574205,0.20107532,0.22728248,0.2343525,0.24098785,0.25657493,0.353477,0.48798618,0.5689674,0.53585714,female,adult
0.47872886,0.3074987,0.22280006,0.18522687,0.19813415,0.22610177,0.23125546,0.22330879,0.29151544,0.4669133,0.611246,0.6273251,female,adult
